Setpoint_Torr,Standard_Pressure_Torr,Device_1_Pressure_Torr,Device_2_Pressure_Torr,Device_3_Pressure_Torr,Device_4_Pressure_Torr
0.0,0.0048,0.0,0.11216161616161617,0.6068686868686869,0.501010101010101
2.0,2.0644,2.043636363636364,2.214949494949495,2.6909090909090905,2.454141414141414
4.0,4.038,4.2278787878787885,4.178585858585858,4.791919191919192,4.59959595959596
6.0,6.008399999999999,6.628686868686868,6.160323232323233,6.794343434343433,6.745858585858587
8.0,8.0,8.651313131313131,8.10828282828283,9.017373737373736,8.585050505050505
10.0,10.0,11.031111111111112,10.096484848484849,10.901818181818182,10.750707070707069
12.0,12.000399999999999,12.971313131313131,12.038464646464647,12.894545454545455,12.623838383838383
14.0,14.001200000000004,15.234747474747472,13.953454545454544,14.833939393939396,14.74181818181818
16.0,16.0012,17.47232323232323,15.895272727272728,16.965656565656566,16.757171717171715
18.0,18.0008,19.85292929292929,17.753535353535355,18.909898989898988,18.925252525252525
20.0,20.002,22.157575757575756,19.645737373737372,21.024646464646462,21.095757575757574
30.0,30.0016,35.31474747474747,20.000000000000004,35.320404040404036,36.09535353535354
40.0,39.99,46.063838383838394,20.000000000000004,44.88969696969697,45.930505050505054
50.0,49.98919999999999,56.76686868686868,20.000000000000004,54.85333333333333,55.2549494949495
60.0,59.989200000000004,67.21777777777777,20.000000000000004,64.38626262626262,64.78707070707071
70.0,69.9788,77.28323232323231,20.000000000000004,73.59434343434343,73.91434343434342
80.0,80.0052,87.46909090909088,20.000000000000004,82.9139393939394,82.40888888888887
90.0,89.98719999999999,97.2468686868687,20.000000000000004,91.47797979797977,91.10222222222221
100.0,100.0244,100.0,20.000000000000004,100.0,99.57252525252525
