Setpoint_Torr,Standard_Pressure_Torr,Device_1_Pressure_Torr,Device_2_Pressure_Torr,Device_3_Pressure_Torr,Device_4_Pressure_Torr
0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.0532,1.7325616,2.2007272,2.1416136,2.0145115200000006
4.0,4.010400000000001,4.0093760000000005,4.4245824,4.3366176,3.98010928
6.0,6.009200000000001,6.129939200000001,6.659217600000001,6.5239776,6.015592799999999
8.0,8.0012,8.2238464,8.863904000000002,8.714591200000001,8.08230304
10.0,10.0024,10.313324000000001,11.050676000000003,10.8980312,10.18999296
12.0,11.99,12.3823,13.198835999999998,13.068535200000001,12.319188000000002
14.0,14.002800000000002,14.4603312,13.6627288,15.248839200000004,14.50404704
16.0,16.000799999999998,16.5062184,17.461012800000002,17.402722400000002,16.707690720000002
18.0,17.9896,18.5292128,19.547119200000004,19.5383384,18.93942512
20.0,19.988799999999998,20.529824000000005,21.627776800000003,21.657059200000003,21.20474608
30.0,29.995999999999995,30.426060000000003,31.662702399999997,32.2336112,
40.0,39.989200000000004,39.98133440000001,41.0900672,42.5228272,
50.0,49.99,49.2105824,50.04644400000001,52.606439200000004,
60.0,59.958800000000004,58.0920088,58.5174072,62.4171408,
70.0,70.0636,66.79452640000001,66.675672,72.14646320000001,
80.0,79.994,75.05906240000002,74.31014640000001,81.4852752,
90.0,89.976,83.09408240000002,81.63548959999999,90.66540560000001,
100.0,99.97399999999999,90.8803,88.64664479999999,99.655416,
