Setpoint_Torr,Standard_Pressure_Torr,Device_1_Pressure_Torr,Device_2_Pressure_Torr,Device_3_Pressure_Torr,Device_4_Pressure_Torr
0.0,0.0,0.01616161616161616,0.10464646464646465,0.672053872053872,0.4316498316498316
2.0,2.08,1.979124579124579,2.2232323232323234,2.4393939393939394,2.5592592592592593
4.0,4.0148,4.179797979797979,4.118114478114478,4.525925925925925,4.616835016835017
6.0,5.990399999999999,6.161952861952861,6.148282828282828,6.318518518518519,6.432659932659932
8.0,8.0024,8.632996632996631,8.12841750841751,8.223569023569022,8.5013468013468
10.0,10.004399999999999,10.659932659932657,10.102020202020203,10.307070707070707,10.816498316498315
12.0,12.001599999999998,12.574074074074074,12.05030303030303,12.007070707070707,12.797306397306397
14.0,14.003200000000001,14.634006734006734,13.973602693602697,13.744781144781145,14.675084175084175
16.0,15.9976,16.503367003367003,15.892053872053873,15.849494949494948,16.917171717171712
18.0,18.000799999999998,18.87777777777778,17.783501683501687,17.569360269360267,18.903367003367
20.0,20.0024,20.791582491582485,19.662491582491583,19.615824915824913,20.408080808080808
30.0,30.004000000000005,33.028956228956226,20.000000000000004,32.81481481481481,36.108754208754206
40.0,40.0248,42.06801346801347,20.000000000000004,41.77104377104377,45.415824915824906
50.0,49.9888,50.8057239057239,20.000000000000004,50.36767676767677,55.51515151515151
60.0,60.0004,59.25286195286194,20.000000000000004,59.19595959595959,64.48249158249158
70.0,69.9888,67.1111111111111,20.000000000000004,67.06363636363636,73.87643097643097
80.0,79.974,74.73063973063972,20.000000000000004,74.98956228956229,82.89158249158248
90.0,89.98,81.75420875420873,20.000000000000004,83.12053872053872,91.26734006734004
100.0,99.98800000000001,89.0117845117845,20.000000000000004,90.62727272727273,99.38888888888889
